"2021 Inventory Report (Newly Acquired Materials)"
"Date Created:","Jun 06, 2021"
"Time Created:","2:32:27 PM"
Filters:,none
Search:,none
"Number of Newly Acquired Materials:",4445

"Accession Number",Barcode,"Call Number",Title,Author,Volume,Year,Edition,Publisher,"Publication Year","Circulation Type",Type,Status,Source,Location,"Last Year Inventoried"
KTRC-510,,"TS 1176 E88 1998","Environmentally friendly technologies for the pulp and paper industry",,0,0,,"J. Wiley",0,"Room Use Only",Book,"On Shelf",,"Knowledge and Training Resource Center",0
KTRC-694,,"HV 551.5 P6 P32 2012","Paghahanda sa kalamidad.",,0,0,,"People's Initiative for Learning and Community Development",0,"Room Use Only",Book,"On Shelf",,"Knowledge and Training Resource Center",0
KTRC-688,,"HT 166 I24 2011","Shaping future cities : a commitment towards sustainability.",,0,0,,"ICLEI-Local Governments for Sustainability",0,"Room Use Only",Book,"On Shelf",,"Knowledge and Training Resource Center",0
KTRC-689,,"HT 166 I24 2011","Shaping future cities : a commitment towards sustainability.",,0,0,,"ICLEI-Local Governments for Sustainability",0,"Room Use Only",Book,"On Shelf",,"Knowledge and Training Resource Center",0
KTRC-684,,"JC 599 P5 I57 2012","International human rights mechanisms and processes : training modules for indigenous communities affected by large-scale mining.",,0,0,,"Philippine Indigenous People's Links (PIPLinks)",2012,"Room Use Only",Book,"On Shelf",,"Knowledge and Training Resource Center",0
NSO-20f,,NSO-20f,"The Philippines in figures.",,0,0,,NSO,0,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20g,,NSO-20f,"The Philippines in figures.",,0,0,,NSO,0,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20h,,NSO-20f,"The Philippines in figures.",,0,0,,NSO,0,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20i,,NSO-20f,"The Philippines in figures.",,0,0,,NSO,0,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20j,,NSO-20f,"The Philippines in figures.",,0,0,,NSO,0,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20k,,NSO-20f,"The Philippines in figures.",,0,0,,NSO,0,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20m,,NSO-20m,"Profile and manpower contribution to production of the special sectors of the Philippine population : children, disabled, Muslims and senior citizens : volume II : the disabled","Gironella, Ann Inez N.",0,0,,NSO,1996,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20n,,NSO-20n,"Profile and manpower contribution to production of the special sectors of the Philippine population : children, disabled, Muslims and senior citizens : volume III : the Muslims","Solivas, Emeterio S.",0,0,,"National Statistics Office",1996,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20o,,NSO-20o,"Quickstat : a monthly update of Philippine statistics.",,2000,0,,NSO,2000,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20p,,NSO-20o,"Quickstat : a monthly update of Philippine statistics.",,2008,0,,NSO,2000,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20q,,NSO-20q,"Studies on poverty estimation in the Philippines.","Templo, Ofelia M.",0,0,,NSO,2003,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20r,,NSO-20r,"Studies on small area estimation of poverty in the Philippines","Albacea, Zita V. J.",0,0,,NSO,2003,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20s,,NSO-20s,"Supervisor's manual : 1995 census of population.",,0,0,,NSO,1995,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20s1,,NSO-20s,"Supervisor's manual : 1995 census of population.",,0,0,,NSO,1995,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20s2,,NSO-20s,"Supervisor's manual : 1995 census of population.",,0,0,,NSO,1995,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20s3,,NSO-20s,"Supervisor's manual : 1995 census of population.",,0,0,,NSO,1995,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-20s4,,NSO-20s,"Supervisor's manual : 1995 census of population.",,0,0,,NSO,1995,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-24p,,NSO-24p,"Analysis of FNRI 1993 and NSO 2000 FIES data for food poverty estimation",,0,0,,NSO,2003,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-24q,,NSO-24q,"Attaching income and expenditure dimensions to the 1990 census of population and housing",,0,0,,NSO,1996,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-24r,,NSO-24r,"Gender differentials in the Philippines : an analysis of the 1990 census","De Guzman, Eliseo A.",0,0,,NSO,1995,"Room Use Only",Book,"On Shelf",,"Main Library",0
NSO-24s,,NSO-24s,"Going beyond income measures in mapping poverty","Lamberte, Exaltacion E.",0,0,,NSO,2003,"Room Use Only",Book,"On Shelf",,"Main Library",0
BC-66500,UBULB0084921,"HV 4145 A6 M2 T32 19","Identifying the poorest in Metro Manila","Tabunda, Ana Maria L.",0,0,,"National Statistics Office",1996,"Room Use Only",Book,"In Process",,"Main Library",0
BG-15704,UBULB0084920,"HV 4145 A6 M2 T32 19","Identifying the poorest in Metro Manila","Tabunda, Ana Maria L.",0,0,,"National Statistics Office",1996,"Room Use Only",Book,"In Process",,"Main Library",0
NSO-24u,,NSO-24u,"Investigating alternative approaches in estimating poverty thresholds","Domingo, Estrella V.",0,0,,NSO,2003,"Room Use Only",Book,"On Shelf",,"Main Library",0
"NSO-VF 1b",,"NSO-VF 1b","Annual poverty indicators survey (APIS) : what the public should know about APIS.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1c",,"NSO-VF 1b","Annual poverty indicators survey (APIS) : what the public should know about APIS.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1d",,"NSO-VF 1b","Annual poverty indicators survey (APIS) : what the public should know about APIS.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1e",,"NSO-VF 1e","Annual survey of construction projects of local government and construction statistics from approved building permits : primer.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1f",,"NSO-VF 1e","Annual survey of construction projects of local government and construction statistics from approved building permits : primer.",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1g",,"NSO-VF 1g","AXIS : gateway to statistical database.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1g1",,"NSO-VF 1g","AXIS : gateway to statistical database.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1g2",,"NSO-VF 1g","AXIS : gateway to statistical database.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1h",,"NSO-VF 1h","Birth registration project.",,0,0,,"NSO-Birth Registration Project",0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1h1",,"NSO-VF 1h","Birth registration project.",,0,0,,"NSO-Birth Registration Project",0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1h2",,"NSO-VF 1h","Birth registration project.",,0,0,,"NSO-Birth Registration Project",0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1i",,"NSO-VF 1i","Census of agriculture and fisheries : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1i1",,"NSO-VF 1i","Census of agriculture and fisheries : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1i2",,"NSO-VF 1i","Census of agriculture and fisheries : primer.",,0,0,,NSO,0,"Room Use Only",Book,"In Process",,"Main Library",0
"NSO-VF 1j",,"NSO-VF 1j","Census of establishments (CE).",,0,0,,NSO,1999,"Room Use Only",Book,"In Process",,"Main Library",0
